    Step    , ZIntercept ,   Index    ,   Pitch    ,  GirdleZ   
         Pav,      -2.436,           0,     -28.500,         N/A
         Pav,      -2.436,          24,     -28.500,         N/A
         Pav,      -2.436,          48,     -28.500,         N/A
         Pav,      -2.436,          72,     -28.500,         N/A
         Pav,      -2.596,          11,     -25.500,         N/A
         Pav,      -2.596,          35,     -25.500,         N/A
         Pav,      -2.596,          59,     -25.500,         N/A
         Pav,      -2.596,          83,     -25.500,         N/A
        Gird,         N/A,           0,       0.000,       1.000
        Gird,         N/A,          24,       0.000,       1.000
        Gird,         N/A,          48,       0.000,       1.000
        Gird,         N/A,          72,       0.000,       1.000
        PavT,        -1.0,           0,     -90.000,         N/A
       Crown,       1.913,          11,      36.500,         N/A
       Crown,       1.913,          35,      36.500,         N/A
       Crown,       1.913,          59,      36.500,         N/A
       Crown,       1.913,          83,      36.500,         N/A
       CrwnT,         1.0,           0,      90.000,         N/A
